year,make,model,status,pdf_year
2007,Chrysler,Crossfire,missing,
2008,Chrysler,Crossfire,missing,
2000,Chrysler,Grand Voyager,missing,
2000,Chrysler,LHS,missing,
2026,Chrysler,Pacifica,missing,
2017,Chrysler,Pacifica Hybrid,missing,
2018,Chrysler,Pacifica Hybrid,missing,
2019,Chrysler,Pacifica Hybrid,missing,
2020,Chrysler,Pacifica Hybrid,missing,
2021,Chrysler,Pacifica Hybrid,missing,
2022,Chrysler,Pacifica Hybrid,missing,
2023,Chrysler,Pacifica Hybrid,missing,
2024,Chrysler,Pacifica Hybrid,missing,
2025,Chrysler,Pacifica Hybrid,missing,
2002,Chrysler,Prowler,missing,
2000,Chrysler,Sebring,missing,
2000,Chrysler,Town AND Country,missing,
2001,Chrysler,Town AND Country,missing,
2002,Chrysler,Town AND Country,missing,
2003,Chrysler,Town AND Country,missing,
2004,Chrysler,Town AND Country,missing,
2000,Chrysler,Voyager,missing,
2001,Chrysler,Voyager,missing,
2002,Chrysler,Voyager,missing,
2003,Chrysler,Voyager,missing,
2026,Chrysler,Voyager,missing,
2000,Daewoo,Lanos,missing,
2001,Daewoo,Lanos,missing,
2002,Daewoo,Lanos,missing,
2000,Daewoo,Leganza,missing,
2001,Daewoo,Leganza,missing,
2002,Daewoo,Leganza,missing,
2000,Daewoo,Nubira,missing,
2001,Daewoo,Nubira,missing,
2002,Daewoo,Nubira,missing,
2000,Dodge,Avenger,missing,
2000,Dodge,Caravan,missing,
2001,Dodge,Caravan,missing,
2002,Dodge,Caravan,missing,
2003,Dodge,Caravan,missing,
2004,Dodge,Caravan,missing,
2005,Dodge,Caravan,missing,
2006,Dodge,Caravan,missing,
2007,Dodge,Caravan,missing,
2008,Dodge,Challenger,missing,
2011,Dodge,Charger,missing,
2025,Dodge,Charger Daytona,missing,
2000,Dodge,Durango,missing,
2001,Dodge,Durango,missing,
2002,Dodge,Durango,missing,
2003,Dodge,Durango,missing,
2004,Dodge,Durango,missing,
2014,Dodge,Durango,missing,
2026,Dodge,Durango,missing,
2009,Dodge,Durango Hybrid,missing,
2000,Dodge,Grand Caravan,missing,
2001,Dodge,Grand Caravan,missing,
2002,Dodge,Grand Caravan,missing,
2003,Dodge,Grand Caravan,missing,
2004,Dodge,Grand Caravan,missing,
2012,Dodge,Grand Caravan,missing,
2019,Dodge,Grand Caravan,missing,
2000,Dodge,Intrepid,missing,
2001,Dodge,Intrepid,missing,
2002,Dodge,Intrepid,missing,
2003,Dodge,Intrepid,missing,
2004,Dodge,Intrepid,missing,
2009,Dodge,Journey,missing,
2010,Dodge,Journey,missing,
2011,Dodge,Journey,missing,
2012,Dodge,Journey,missing,
2013,Dodge,Journey,missing,
2005,Dodge,Magnum,missing,
2006,Dodge,Magnum,missing,
2007,Dodge,Magnum,missing,
2008,Dodge,Magnum,missing,
2000,Dodge,Neon,missing,
2001,Dodge,Neon,missing,
2002,Dodge,Neon,missing,
2003,Dodge,Neon,missing,
2004,Dodge,Neon,missing,
2005,Dodge,Neon,missing,
2000,Dodge,RAM 1500,missing,
2001,Dodge,RAM 1500,missing,
2002,Dodge,RAM 1500,missing,
2003,Dodge,RAM 1500,missing,
2004,Dodge,RAM 1500,missing,
2005,Dodge,RAM 1500,missing,
2006,Dodge,RAM 1500,missing,
2007,Dodge,RAM 1500,missing,
2008,Dodge,RAM 1500,missing,
2009,Dodge,RAM 1500,missing,
2010,Dodge,RAM 1500,missing,
2011,Dodge,RAM 1500,missing,
2000,Dodge,RAM 2500,missing,
2001,Dodge,RAM 2500,missing,
2002,Dodge,RAM 2500,missing,
2003,Dodge,RAM 2500,missing,
2004,Dodge,RAM 2500,missing,
2005,Dodge,RAM 2500,missing,
2006,Dodge,RAM 2500,missing,
2007,Dodge,RAM 2500,missing,
2008,Dodge,RAM 2500,missing,
2009,Dodge,RAM 2500,missing,
2010,Dodge,RAM 2500,missing,
2011,Dodge,RAM 2500,missing,
2000,Dodge,RAM 3500,missing,
2001,Dodge,RAM 3500,missing,
2002,Dodge,RAM 3500,missing,
2003,Dodge,RAM 3500,missing,
2004,Dodge,RAM 3500,missing,
2005,Dodge,RAM 3500,missing,
2006,Dodge,RAM 3500,missing,
2007,Dodge,RAM 3500,missing,
2008,Dodge,RAM 3500,missing,
2009,Dodge,RAM 3500,missing,
2010,Dodge,RAM 3500,missing,
2011,Dodge,RAM 3500,missing,
2000,Dodge,RAM VAN 1500,missing,
2001,Dodge,RAM VAN 1500,missing,
2002,Dodge,RAM VAN 1500,missing,
2003,Dodge,RAM VAN 1500,missing,
2000,Dodge,RAM VAN 2500,missing,
2001,Dodge,RAM VAN 2500,missing,
2002,Dodge,RAM VAN 2500,missing,
2003,Dodge,RAM VAN 2500,missing,
2000,Dodge,RAM VAN 3500,missing,
2001,Dodge,RAM VAN 3500,missing,
2002,Dodge,RAM VAN 3500,missing,
2003,Dodge,RAM VAN 3500,missing,
2000,Dodge,RAM Wagon 1500,missing,
2001,Dodge,RAM Wagon 1500,missing,
2002,Dodge,RAM Wagon 1500,missing,
2000,Dodge,RAM Wagon 2500,missing,
2001,Dodge,RAM Wagon 2500,missing,
2002,Dodge,RAM Wagon 2500,missing,
2000,Dodge,RAM Wagon 3500,missing,
2001,Dodge,RAM Wagon 3500,missing,
2002,Dodge,RAM Wagon 3500,missing,
2013,Dodge,SRT Viper,missing,
2014,Dodge,SRT Viper,missing,
2015,Dodge,SRT Viper,missing,
2003,Dodge,Sprinter VAN 2500,missing,
2004,Dodge,Sprinter VAN 2500,missing,
2005,Dodge,Sprinter VAN 2500,missing,
2006,Dodge,Sprinter VAN 2500,missing,
2007,Dodge,Sprinter VAN 2500,missing,
2008,Dodge,Sprinter VAN 2500,missing,
2009,Dodge,Sprinter VAN 2500,missing,
2003,Dodge,Sprinter VAN 3500,missing,
2004,Dodge,Sprinter VAN 3500,missing,
2005,Dodge,Sprinter VAN 3500,missing,
2006,Dodge,Sprinter VAN 3500,missing,
2007,Dodge,Sprinter VAN 3500,missing,
2008,Dodge,Sprinter VAN 3500,missing,
2009,Dodge,Sprinter VAN 3500,missing,
2003,Dodge,Sprinter Wagon 2500,missing,
2004,Dodge,Sprinter Wagon 2500,missing,
2005,Dodge,Sprinter Wagon 2500,missing,
2006,Dodge,Sprinter Wagon 2500,missing,
2007,Dodge,Sprinter Wagon 2500,missing,
2008,Dodge,Sprinter Wagon 2500,missing,
2009,Dodge,Sprinter Wagon 2500,missing,
2000,Dodge,Stratus,missing,
2001,Dodge,Stratus,missing,
2002,Dodge,Stratus,missing,
2003,Dodge,Stratus,missing,
2004,Dodge,Stratus,missing,
2005,Dodge,Stratus,missing,
2006,Dodge,Stratus,missing,
2000,Dodge,Viper,missing,
2001,Dodge,Viper,missing,
2002,Dodge,Viper,missing,
2003,Dodge,Viper,missing,
2004,Dodge,Viper,missing,
2005,Dodge,Viper,missing,
2006,Dodge,Viper,missing,
2008,Dodge,Viper,missing,
2009,Dodge,Viper,missing,
2010,Dodge,Viper,missing,
2015,Dodge,Viper,missing,
2016,Dodge,Viper,missing,
2017,Dodge,Viper,missing,
2008,FORD,Fusion,missing,
2012,FORD,Fusion,missing,
2025,Ferrari,12cilindri,missing,
2023,Ferrari,296 GTB,missing,
2024,Ferrari,296 GTB,missing,
2023,Ferrari,296 GTS,missing,
2024,Ferrari,296 GTS,missing,
2002,Ferrari,360 Modena,missing,
2003,Ferrari,360 Modena,missing,
2004,Ferrari,360 Modena,missing,
2002,Ferrari,456m,missing,
2003,Ferrari,456m,missing,
2010,Ferrari,458 Italia,missing,
2011,Ferrari,458 Italia,missing,
2012,Ferrari,458 Italia,missing,
2013,Ferrari,458 Italia,missing,
2014,Ferrari,458 Italia,missing,
2015,Ferrari,458 Italia,missing,
2015,Ferrari,458 Speciale,missing,
2012,Ferrari,458 Spider,missing,
2013,Ferrari,458 Spider,missing,
2014,Ferrari,458 Spider,missing,
2015,Ferrari,458 Spider,missing,
2016,Ferrari,488 GTB,missing,
2017,Ferrari,488 GTB,missing,
2018,Ferrari,488 GTB,missing,
2019,Ferrari,488 GTB,missing,
2019,Ferrari,488 Pista,missing,
2020,Ferrari,488 Pista,missing,
2020,Ferrari,488 Pista Spider,missing,
2016,Ferrari,488 Spider,missing,
2017,Ferrari,488 Spider,missing,
2018,Ferrari,488 Spider,missing,
2019,Ferrari,488 Spider,missing,
2002,Ferrari,575m,missing,
2003,Ferrari,575m,missing,
2004,Ferrari,575m,missing,
2005,Ferrari,575m,missing,
2007,Ferrari,599 GTB Fiorano,missing,
2008,Ferrari,599 GTB Fiorano,missing,
2009,Ferrari,599 GTB Fiorano,missing,
2010,Ferrari,599 GTB Fiorano,missing,
2011,Ferrari,599 GTB Fiorano,missing,
2005,Ferrari,612 Scaglietti,missing,
2006,Ferrari,612 Scaglietti,missing,
2007,Ferrari,612 Scaglietti,missing,
2008,Ferrari,612 Scaglietti,missing,
2009,Ferrari,612 Scaglietti,missing,
2010,Ferrari,612 Scaglietti,missing,
2023,Ferrari,812 Competizione,missing,
2021,Ferrari,812 GTS,missing,
2022,Ferrari,812 GTS,missing,
2023,Ferrari,812 GTS,missing,
2024,Ferrari,812 GTS,missing,
2018,Ferrari,812 Superfast,missing,
2019,Ferrari,812 Superfast,missing,
2020,Ferrari,812 Superfast,missing,
2009,Ferrari,California,missing,
2010,Ferrari,California,missing,
2011,Ferrari,California,missing,
2012,Ferrari,California,missing,
2013,Ferrari,California,missing,
2014,Ferrari,California,missing,
2015,Ferrari,California,missing,
2016,Ferrari,California,missing,
2017,Ferrari,California,missing,
2018,Ferrari,California,missing,
2004,Ferrari,Challenge Stradale,missing,
2003,Ferrari,Enzo,missing,
2013,Ferrari,F12berlinetta,missing,
2014,Ferrari,F12berlinetta,missing,
2015,Ferrari,F12berlinetta,missing,
2016,Ferrari,F12berlinetta,missing,
2017,Ferrari,F12berlinetta,missing,
2016,Ferrari,F12tdf,missing,
2017,Ferrari,F12tdf,missing,
2005,Ferrari,F430,missing,
2006,Ferrari,F430,missing,
2007,Ferrari,F430,missing,
2008,Ferrari,F430,missing,
2009,Ferrari,F430,missing,
2020,Ferrari,F8 Spider,missing,
2022,Ferrari,F8 Spider,missing,
2023,Ferrari,F8 Spider,missing,
2020,Ferrari,F8 Tributo,missing,
2021,Ferrari,F8 Tributo,missing,
2022,Ferrari,F8 Tributo,missing,
2023,Ferrari,F8 Tributo,missing,
2012,Ferrari,FF,missing,
2013,Ferrari,FF,missing,
2014,Ferrari,FF,missing,
2015,Ferrari,FF,missing,
2016,Ferrari,FF,missing,
2017,Ferrari,Gtc4lusso,missing,
2018,Ferrari,Gtc4lusso,missing,
2019,Ferrari,Gtc4lusso,missing,
2020,Ferrari,Gtc4lusso,missing,
2014,Ferrari,Laferrari,missing,
2015,Ferrari,Laferrari,missing,
2020,Ferrari,Portofino,missing,
2021,Ferrari,Portofino,missing,
2022,Ferrari,Portofino M,missing,
2023,Ferrari,Portofino M,missing,
2024,Ferrari,Purosangue,missing,
2021,Ferrari,Roma,missing,
2022,Ferrari,Roma,missing,
2023,Ferrari,Roma,missing,
2024,Ferrari,Roma,missing,
2024,Ferrari,Roma Spider,missing,
2022,Ferrari,Sf90 Spider,missing,
2023,Ferrari,Sf90 Spider,missing,
2024,Ferrari,Sf90 Spider,missing,
2020,Ferrari,Sf90 Stradale,missing,
2022,Ferrari,Sf90 Stradale,missing,
2023,Ferrari,Sf90 Stradale,missing,
2024,Ferrari,Sf90 Stradale,missing,
2017,Fiat,124 Spider,missing,
2018,Fiat,124 Spider,missing,
2019,Fiat,124 Spider,missing,
2020,Fiat,124 Spider,missing,
2012,Fiat,500c,missing,
2013,Fiat,500c,missing,
2014,Fiat,500c,missing,
2015,Fiat,500c,missing,
2016,Fiat,500c,missing,
2017,Fiat,500c,missing,
2018,Fiat,500c,missing,
2019,Fiat,500c,missing,
2013,Fiat,500e,missing,
2014,Fiat,500e,missing,
2015,Fiat,500e,missing,
2016,Fiat,500e,missing,
2017,Fiat,500e,missing,
2018,Fiat,500e,missing,
2019,Fiat,500e,missing,
2024,Fiat,500e,missing,
2025,Fiat,500e,missing,
2015,Fiat,500l,missing,
2016,Fiat,500l,missing,
2017,Fiat,500l,missing,
2016,Fiat,500x,missing,
2017,Fiat,500x,missing,
2018,Fiat,500x,missing,
2023,Fiat,500x,missing,
2012,Fisker,Karma,missing,
2023,Fisker,Ocean,missing,
2024,Fisker,Ocean,missing,
2021,Ford,Bronco,missing,
2022,Ford,Bronco,missing,
2023,Ford,Bronco,missing,
2024,Ford,Bronco,missing,
2025,Ford,Bronco,missing,
2021,Ford,Bronco Sport,missing,
2022,Ford,Bronco Sport,missing,
2023,Ford,Bronco Sport,missing,
2024,Ford,Bronco Sport,missing,
2025,Ford,Bronco Sport,missing,
2013,Ford,C MAX Energi,missing,
2014,Ford,C MAX Energi,missing,
2015,Ford,C MAX Energi,missing,
2016,Ford,C MAX Energi,missing,
2017,Ford,C MAX Energi,missing,
2013,Ford,C MAX Hybrid,missing,
2014,Ford,C MAX Hybrid,missing,
2015,Ford,C MAX Hybrid,missing,
2016,Ford,C MAX Hybrid,missing,
2017,Ford,C MAX Hybrid,missing,
2018,Ford,C MAX Hybrid,missing,
2000,Ford,Contour,missing,
2000,Ford,Crown Victoria,missing,
2001,Ford,Crown Victoria,missing,
2002,Ford,Crown Victoria,missing,
2003,Ford,Crown Victoria,missing,
2004,Ford,Crown Victoria,missing,
2005,Ford,Crown Victoria,missing,
2006,Ford,Crown Victoria,missing,
2007,Ford,Crown Victoria,missing,
2008,Ford,Crown Victoria,missing,
2009,Ford,Crown Victoria,missing,
2010,Ford,Crown Victoria,missing,
2011,Ford,Crown Victoria,missing,
2000,Ford,E 150,missing,
2001,Ford,E 150,missing,
2002,Ford,E 150,missing,
2003,Ford,E 150,missing,
2004,Ford,E 150,missing,
2005,Ford,E 150,missing,
2006,Ford,E 150,missing,
2007,Ford,E 150,missing,
2008,Ford,E 150,missing,
2009,Ford,E 150,missing,
2010,Ford,E 150,missing,
2011,Ford,E 150,missing,
2012,Ford,E 150,missing,
2013,Ford,E 150,missing,
2014,Ford,E 150,missing,
2000,Ford,E 250,missing,
2001,Ford,E 250,missing,
2002,Ford,E 250,missing,
2003,Ford,E 250,missing,
2004,Ford,E 250,missing,
2005,Ford,E 250,missing,
2006,Ford,E 250,missing,
2007,Ford,E 250,missing,
2008,Ford,E 250,missing,
2009,Ford,E 250,missing,
2010,Ford,E 250,missing,
2011,Ford,E 250,missing,
2012,Ford,E 250,missing,
2013,Ford,E 250,missing,
2014,Ford,E 250,missing,
2000,Ford,E 350 Super Duty,missing,
2001,Ford,E 350 Super Duty,missing,
2002,Ford,E 350 Super Duty,missing,
2003,Ford,E 350 Super Duty,missing,
2004,Ford,E 350 Super Duty,missing,
2005,Ford,E 350 Super Duty,missing,
2006,Ford,E 350 Super Duty,missing,
2007,Ford,E 350 Super Duty,missing,
2008,Ford,E 350 Super Duty,missing,
2009,Ford,E 350 Super Duty,missing,
2010,Ford,E 350 Super Duty,missing,
2011,Ford,E 350 Super Duty,missing,
2012,Ford,E 350 Super Duty,missing,
2013,Ford,E 350 Super Duty,missing,
2014,Ford,E 350 Super Duty,missing,
2023,Ford,E Transit 350 Cargo,missing,
2024,Ford,E Transit 350 Cargo,missing,
2025,Ford,E Transit Cargo VAN,missing,
2018,Ford,Ecosport,missing,
2019,Ford,Ecosport,missing,
2020,Ford,Ecosport,missing,
2021,Ford,Ecosport,missing,
2022,Ford,Ecosport,missing,
2007,Ford,Edge,missing,
2008,Ford,Edge,missing,
2009,Ford,Edge,missing,
2010,Ford,Edge,missing,
2011,Ford,Edge,missing,
2012,Ford,Edge,missing,
2013,Ford,Edge,missing,
2014,Ford,Edge,missing,
2015,Ford,Edge,missing,
2016,Ford,Edge,missing,
2017,Ford,Edge,missing,
2018,Ford,Edge,missing,
2019,Ford,Edge,missing,
2020,Ford,Edge,missing,
2021,Ford,Edge,missing,
2022,Ford,Edge,missing,
2023,Ford,Edge,missing,
2024,Ford,Edge,missing,
2001,Ford,Escape,missing,
2002,Ford,Escape,missing,
2003,Ford,Escape,missing,
2004,Ford,Escape,missing,
2005,Ford,Escape,missing,
2006,Ford,Escape,missing,
2007,Ford,Escape,missing,
2008,Ford,Escape,missing,
2009,Ford,Escape,missing,
2010,Ford,Escape,missing,
2011,Ford,Escape,missing,
2012,Ford,Escape,missing,
2013,Ford,Escape,missing,
2014,Ford,Escape,missing,
2015,Ford,Escape,missing,
2016,Ford,Escape,missing,
2017,Ford,Escape,missing,
2018,Ford,Escape,missing,
2019,Ford,Escape,missing,
2020,Ford,Escape,missing,
2021,Ford,Escape,missing,
2022,Ford,Escape,missing,
2023,Ford,Escape,missing,
2024,Ford,Escape,missing,
2025,Ford,Escape,missing,
2026,Ford,Escape,missing,
2006,Ford,Escape Hybrid,missing,
2007,Ford,Escape Hybrid,missing,
2008,Ford,Escape Hybrid,missing,
2009,Ford,Escape Hybrid,missing,
2010,Ford,Escape Hybrid,missing,
2011,Ford,Escape Hybrid,missing,
2012,Ford,Escape Hybrid,missing,
2020,Ford,Escape Phev,missing,
2021,Ford,Escape Phev,missing,
2022,Ford,Escape Phev,missing,
2025,Ford,Escape Phev,missing,
2000,Ford,Escort,missing,
2001,Ford,Escort,missing,
2000,Ford,Excursion,missing,
2001,Ford,Excursion,missing,
2002,Ford,Excursion,missing,
2003,Ford,Excursion,missing,
2004,Ford,Excursion,missing,
2005,Ford,Excursion,missing,
2000,Ford,Expedition,missing,
2001,Ford,Expedition,missing,
2002,Ford,Expedition,missing,
2003,Ford,Expedition,missing,
2004,Ford,Expedition,missing,
2005,Ford,Expedition,missing,
2006,Ford,Expedition,missing,
2007,Ford,Expedition,missing,
2008,Ford,Expedition,missing,
2009,Ford,Expedition,missing,
2010,Ford,Expedition,missing,
2011,Ford,Expedition,missing,
2012,Ford,Expedition,missing,
2013,Ford,Expedition,missing,
2014,Ford,Expedition,missing,
2015,Ford,Expedition,missing,
2016,Ford,Expedition,missing,
2017,Ford,Expedition,missing,
2018,Ford,Expedition,missing,
2019,Ford,Expedition,missing,
2020,Ford,Expedition,missing,
2021,Ford,Expedition,missing,
2022,Ford,Expedition,missing,
2023,Ford,Expedition,missing,
2024,Ford,Expedition,missing,
2025,Ford,Expedition,missing,
2007,Ford,Expedition EL,missing,
2008,Ford,Expedition EL,missing,
2009,Ford,Expedition EL,missing,
2010,Ford,Expedition EL,missing,
2011,Ford,Expedition EL,missing,
2012,Ford,Expedition EL,missing,
2013,Ford,Expedition EL,missing,
2014,Ford,Expedition EL,missing,
2015,Ford,Expedition EL,missing,
2016,Ford,Expedition EL,missing,
2017,Ford,Expedition EL,missing,
2018,Ford,Expedition MAX,missing,
2019,Ford,Expedition MAX,missing,
2020,Ford,Expedition MAX,missing,
2021,Ford,Expedition MAX,missing,
2022,Ford,Expedition MAX,missing,
2023,Ford,Expedition MAX,missing,
2024,Ford,Expedition MAX,missing,
2025,Ford,Expedition MAX,missing,
2000,Ford,Explorer,missing,
2001,Ford,Explorer,missing,
2002,Ford,Explorer,missing,
2003,Ford,Explorer,missing,
2004,Ford,Explorer,missing,
2005,Ford,Explorer,missing,
2006,Ford,Explorer,missing,
2007,Ford,Explorer,missing,
2008,Ford,Explorer,missing,
2009,Ford,Explorer,missing,
2010,Ford,Explorer,missing,
2011,Ford,Explorer,missing,
2012,Ford,Explorer,missing,
2013,Ford,Explorer,missing,
2014,Ford,Explorer,missing,
2015,Ford,Explorer,missing,
2016,Ford,Explorer,missing,
2017,Ford,Explorer,missing,
2018,Ford,Explorer,missing,
2019,Ford,Explorer,missing,
2020,Ford,Explorer,missing,
2021,Ford,Explorer,missing,
2022,Ford,Explorer,missing,
2023,Ford,Explorer,missing,
2024,Ford,Explorer,missing,
2025,Ford,Explorer,missing,
2001,Ford,Explorer Sport,missing,
2002,Ford,Explorer Sport,missing,
2003,Ford,Explorer Sport,missing,
2001,Ford,Explorer Sport Trac,missing,
2002,Ford,Explorer Sport Trac,missing,
2003,Ford,Explorer Sport Trac,missing,
2004,Ford,Explorer Sport Trac,missing,
2005,Ford,Explorer Sport Trac,missing,
2007,Ford,Explorer Sport Trac,missing,
2008,Ford,Explorer Sport Trac,missing,
2009,Ford,Explorer Sport Trac,missing,
2010,Ford,Explorer Sport Trac,missing,
2004,Ford,F 150 Heritage,missing,
2022,Ford,F 150 Lightning,missing,
2023,Ford,F 150 Lightning,missing,
2024,Ford,F 150 Lightning,missing,
2025,Ford,F 150 Lightning,missing,
2021,Ford,F 150 Police Responder,missing,
2001,Ford,F 150 Supercrew,missing,
2002,Ford,F 150 Supercrew,missing,
2003,Ford,F 150 Supercrew,missing,
2004,Ford,F 150 Supercrew,missing,
2005,Ford,F 150 Supercrew,missing,
2006,Ford,F 150 Supercrew,missing,
2007,Ford,F 150 Supercrew,missing,
2008,Ford,F 150 Supercrew,missing,
2009,Ford,F 150 Supercrew,missing,
2000,Ford,F 250,missing,
2001,Ford,F 250,missing,
2002,Ford,F 250,missing,
2003,Ford,F 250,missing,
2004,Ford,F 250,missing,
2005,Ford,F 250,missing,
2006,Ford,F 250,missing,
2007,Ford,F 250,missing,
2008,Ford,F 250,missing,
2009,Ford,F 250,missing,
2010,Ford,F 250,missing,
2011,Ford,F 250,missing,
2012,Ford,F 250,missing,
2013,Ford,F 250,missing,
2014,Ford,F 250,missing,
2015,Ford,F 250,missing,
2016,Ford,F 250,missing,
2017,Ford,F 250,missing,
2018,Ford,F 250,missing,
2019,Ford,F 250,missing,
2020,Ford,F 250,missing,
2021,Ford,F 250,missing,
2022,Ford,F 250,missing,
2023,Ford,F 250,missing,
2024,Ford,F 250,missing,
2000,Ford,F 350,missing,
2001,Ford,F 350,missing,
2002,Ford,F 350,missing,
2003,Ford,F 350,missing,
2004,Ford,F 350,missing,
2005,Ford,F 350,missing,
2006,Ford,F 350,missing,
2007,Ford,F 350,missing,
2008,Ford,F 350,missing,
2009,Ford,F 350,missing,
2010,Ford,F 350,missing,
2011,Ford,F 350,missing,
2012,Ford,F 350,missing,
2013,Ford,F 350,missing,
2014,Ford,F 350,missing,
2015,Ford,F 350,missing,
2016,Ford,F 350,missing,
2017,Ford,F 350,missing,
2018,Ford,F 350,missing,
2019,Ford,F 350,missing,
2020,Ford,F 350,missing,
2021,Ford,F 350,missing,
2022,Ford,F 350,missing,
2023,Ford,F 350,missing,
2024,Ford,F 350,missing,
2008,Ford,F 450,missing,
2009,Ford,F 450,missing,
2010,Ford,F 450,missing,
2011,Ford,F 450,missing,
2012,Ford,F 450,missing,
2013,Ford,F 450,missing,
2014,Ford,F 450,missing,
2015,Ford,F 450,missing,
2016,Ford,F 450,missing,
2017,Ford,F 450,missing,
2018,Ford,F 450,missing,
2019,Ford,F 450,missing,
2020,Ford,F 450,missing,
2021,Ford,F 450,missing,
2022,Ford,F 450,missing,
2023,Ford,F 450,missing,
2011,Ford,Fiesta,missing,
2012,Ford,Fiesta,missing,
2013,Ford,Fiesta,missing,
2014,Ford,Fiesta,missing,
2015,Ford,Fiesta,missing,
2016,Ford,Fiesta,missing,
2017,Ford,Fiesta,missing,
2018,Ford,Fiesta,missing,
2019,Ford,Fiesta,missing,
2005,Ford,Five Hundred,missing,
2006,Ford,Five Hundred,missing,
2007,Ford,Five Hundred,missing,
2009,Ford,Flex,missing,
2010,Ford,Flex,missing,
2011,Ford,Flex,missing,
2012,Ford,Flex,missing,
2013,Ford,Flex,missing,
2014,Ford,Flex,missing,
2015,Ford,Flex,missing,
2016,Ford,Flex,missing,
2017,Ford,Flex,missing,
2018,Ford,Flex,missing,
2019,Ford,Flex,missing,
2000,Ford,Focus,missing,
2001,Ford,Focus,missing,
2002,Ford,Focus,missing,
2003,Ford,Focus,missing,
2004,Ford,Focus,missing,
2005,Ford,Focus,missing,
2006,Ford,Focus,missing,
2007,Ford,Focus,missing,
2008,Ford,Focus,missing,
2009,Ford,Focus,missing,
2010,Ford,Focus,missing,
2011,Ford,Focus,missing,
2012,Ford,Focus,missing,
2013,Ford,Focus,missing,
2014,Ford,Focus,missing,
2015,Ford,Focus,missing,
2016,Ford,Focus,missing,
2017,Ford,Focus,missing,
2018,Ford,Focus,missing,
2012,Ford,Focus Electric,missing,
2013,Ford,Focus Electric,missing,
2014,Ford,Focus Electric,missing,
2015,Ford,Focus Electric,missing,
2016,Ford,Focus Electric,missing,
2017,Ford,Focus Electric,missing,
2018,Ford,Focus Electric,missing,
2016,Ford,Focus RS,missing,
2017,Ford,Focus RS,missing,
2018,Ford,Focus RS,missing,
2013,Ford,Focus ST,missing,
2014,Ford,Focus ST,missing,
2015,Ford,Focus ST,missing,
2016,Ford,Focus ST,missing,
2017,Ford,Focus ST,missing,
2018,Ford,Focus ST,missing,
2004,Ford,Freestar,missing,
2005,Ford,Freestar,missing,
2006,Ford,Freestar,missing,
2007,Ford,Freestar,missing,
2005,Ford,Freestyle,missing,
2006,Ford,Freestyle,missing,
2007,Ford,Freestyle,missing,
2006,Ford,Fusion,missing,
2007,Ford,Fusion,missing,
2009,Ford,Fusion,missing,
2010,Ford,Fusion,missing,
2011,Ford,Fusion,missing,
2013,Ford,Fusion,missing,
2014,Ford,Fusion,missing,
2015,Ford,Fusion,missing,
2016,Ford,Fusion,missing,
2017,Ford,Fusion,missing,
2018,Ford,Fusion,missing,
2019,Ford,Fusion,missing,
2020,Ford,Fusion,missing,
2013,Ford,Fusion Energi,missing,
2014,Ford,Fusion Energi,missing,
2015,Ford,Fusion Energi,missing,
2016,Ford,Fusion Energi,missing,
2017,Ford,Fusion Energi,missing,
2018,Ford,Fusion Energi,missing,
2019,Ford,Fusion Energi,missing,
2020,Ford,Fusion Energi,missing,
2010,Ford,Fusion Hybrid,missing,
2011,Ford,Fusion Hybrid,missing,
2012,Ford,Fusion Hybrid,missing,
2013,Ford,Fusion Hybrid,missing,
2014,Ford,Fusion Hybrid,missing,
2015,Ford,Fusion Hybrid,missing,
2016,Ford,Fusion Hybrid,missing,
2017,Ford,Fusion Hybrid,missing,
2018,Ford,Fusion Hybrid,missing,
2019,Ford,Fusion Hybrid,missing,
2020,Ford,Fusion Hybrid,missing,
2019,Ford,Fusion Taxi,missing,
2005,Ford,GT,missing,
2006,Ford,GT,missing,
2022,Ford,Maverick,missing,
2023,Ford,Maverick,missing,
2024,Ford,Maverick,missing,
2025,Ford,Maverick,missing,
2000,Ford,Mustang,missing,
2001,Ford,Mustang,missing,
2002,Ford,Mustang,missing,
2003,Ford,Mustang,missing,
2004,Ford,Mustang,missing,
2005,Ford,Mustang,missing,
2006,Ford,Mustang,missing,
2007,Ford,Mustang,missing,
2008,Ford,Mustang,missing,
2009,Ford,Mustang,missing,
2010,Ford,Mustang,missing,
2011,Ford,Mustang,missing,
2012,Ford,Mustang,missing,
2013,Ford,Mustang,missing,
2014,Ford,Mustang,missing,
2015,Ford,Mustang,missing,
2016,Ford,Mustang,missing,
2017,Ford,Mustang,missing,
2018,Ford,Mustang,missing,
2019,Ford,Mustang,missing,
2020,Ford,Mustang,missing,
2021,Ford,Mustang,missing,
2022,Ford,Mustang,missing,
2023,Ford,Mustang,missing,
2024,Ford,Mustang,missing,
2025,Ford,Mustang,missing,
2021,Ford,Mustang Mach E,missing,
2022,Ford,Mustang Mach E,missing,
2023,Ford,Mustang Mach E,missing,
2024,Ford,Mustang Mach E,missing,
2025,Ford,Mustang Mach E,missing,
2000,Ford,Ranger,missing,
2001,Ford,Ranger,missing,
2002,Ford,Ranger,missing,
2003,Ford,Ranger,missing,
2004,Ford,Ranger,missing,
2005,Ford,Ranger,missing,
2006,Ford,Ranger,missing,
2007,Ford,Ranger,missing,
2008,Ford,Ranger,missing,
2009,Ford,Ranger,missing,
